,City,Country,Response Code,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
368,bedford,US,200,90,1540671300,100,42.49,-71.28,53.6,21.92
369,guerrero negro,MX,200,0,1540672305,39,27.97,-114.04,86.27,9.75
370,utrecht,ZA,200,0,1540672305,76,-27.66,30.32,56.17,2.59
371,carutapera,BR,200,8,1540672305,83,-1.2,-46.02,81.37,8.97
372,batemans bay,AU,200,0,1540672306,90,-35.71,150.18,53.15,7.63
373,shitanjing,CN,200,0,1540672306,66,39.23,106.34,16.07,2.04
374,sinnamary,GF,200,32,1540672306,94,5.38,-52.96,82.13,7.18
375,alindao,CF,200,36,1540672306,89,5.04,21.21,73.4,3.04
376,alyangula,AU,200,0,1540672310,100,-13.85,136.42,80.78,5.39
377,tautira,PF,200,75,1540670400,74,-17.73,-149.15,84.2,4.7
378,ak-dovurak,RU,200,64,1540672310,89,51.17,90.6,17.47,1.92
379,wanning,CN,200,100,1540672310,100,18.8,110.4,78.08,19.71
380,oyama,JP,200,75,1540666800,87,36.31,139.8,53.6,5.82
381,kenai,US,200,90,1540670160,81,60.55,-151.26,42.8,6.93
382,half moon bay,US,200,75,1540671120,68,37.46,-122.43,78.8,10.29
383,naze,JP,200,36,1540672311,100,28.37,129.48,70.57,19.15
384,idritsa,RU,200,36,1540672252,92,56.33,28.9,42.8,17.81
385,maloy,NO,200,0,1540669800,69,61.94,5.11,37.4,4.7
386,tessalit,ML,200,0,1540672312,36,20.2,1.01,61.07,3.83
387,ambanja,MG,200,68,1540672312,95,-13.68,48.45,67.96,2.37
388,bathsheba,BB,200,40,1540670400,66,13.22,-59.52,84.2,11.41
389,kushima,JP,200,0,1540672313,100,31.5,131.29,52.16,6.17
390,kununurra,AU,200,0,1540670880,73,-15.77,128.74,77,3.36
391,evensk,RU,200,20,1540672313,100,61.92,159.24,30.52,3.94
392,shimoda,JP,200,0,1540672313,100,34.7,138.93,64.49,18.37
393,texarkana,US,200,1,1540669980,50,33.44,-94.04,75.2,3.36
394,tomatlan,MX,200,8,1540672314,65,19.93,-105.25,85.1,5.17
395,crixas,BR,200,36,1540672314,65,-14.55,-49.97,81.77,2.93
396,etah,IN,200,0,1540672250,74,27.56,78.66,64.4,2.82
397,sibiti,CG,200,44,1540672314,94,-3.69,13.35,73.49,2.82
398,deori khas,IN,200,0,1540672315,73,23.39,79.03,62.87,2.71
399,tevriz,RU,200,92,1540672315,97,57.51,72.4,41.99,4.83
400,provideniya,RU,200,0,1540672315,100,64.42,-173.23,25.57,8.97
401,aberdeen,US,200,75,1540670040,81,46.98,-123.82,55.4,14.99
402,haines junction,CA,200,8,1540672316,70,60.75,-137.51,31.24,2.15
403,nevel,RU,200,76,1540672316,93,56.02,29.92,42.98,17.69
404,ambositra,MG,200,92,1540672316,100,-20.53,47.24,56.66,2.71
405,koudougou,BF,200,0,1540672217,73,12.25,-2.37,80.11,2.82
406,berbera,SO,200,0,1540672316,93,10.44,45.01,66.52,2.71
407,petropavlovsk-kamchatskiy,RU,200,75,1540670400,86,53.05,158.65,37.4,2.24
408,bilibino,RU,200,80,1540672317,74,68.06,166.44,-0.4,2.59
409,maltahohe,NA,200,24,1540672317,29,-24.83,16.98,74.44,13.11
410,christchurch,NZ,200,0,1540670400,93,-43.53,172.64,53.6,10.29
411,pitimbu,BR,200,20,1540670400,65,-7.47,-34.81,80.6,9.17
412,vrangel,RU,200,56,1540672318,100,42.73,133.08,45.32,19.37
413,yar-sale,RU,200,88,1540672318,100,66.83,70.83,29.39,17.81
414,otane,NZ,200,12,1540672318,82,-39.89,176.62,62.96,3.94
415,igarka,RU,200,80,1540672318,90,67.47,86.57,35.02,14
416,san carlos de bariloche,AR,200,75,1540670400,55,-41.13,-71.31,60.8,20.8
417,daru,PG,200,92,1540672319,96,-9.07,143.21,79.84,7.96
418,atar,MR,200,80,1540672319,24,20.52,-13.05,83.75,3.38
419,arequipa,PE,200,0,1540670400,12,-16.4,-71.54,71.6,11.41
420,quatre cocos,MU,200,20,1540670400,82,-20.21,57.76,66.2,5.82
421,guaruja,BR,200,75,1540670400,73,-23.99,-46.26,78.8,5.82
422,gandajika,CD,200,12,1540672320,84,-6.75,23.95,73.72,1.59
423,husavik,IS,200,0,1540670400,64,66.04,-17.34,35.6,13.87
424,san rafael del sur,NI,200,40,1540670400,66,11.85,-86.44,86,4.7
425,agirish,RU,200,44,1540672321,72,61.92,63.02,30.52,6.96
426,kizner,RU,200,56,1540672322,84,56.27,51.51,32.81,10.2
427,berlevag,NO,200,88,1540672322,100,70.86,29.09,32.86,16.02
428,dunedin,NZ,200,92,1540672322,100,-45.87,170.5,47.57,3.83
429,mangrol,IN,200,0,1540672323,71,25.33,76.51,61.39,2.82
430,charters towers,AU,200,0,1540672323,82,-20.07,146.27,69.49,3.83
431,ust-nera,RU,200,44,1540672323,76,64.57,143.24,2.89,2.26
432,stromness,GB,200,68,1540669800,81,58.97,-3.3,44.6,13.87
433,muros,ES,200,75,1540670400,93,42.77,-9.06,39.2,13.87
434,sao joao da barra,BR,200,75,1540670400,88,-21.64,-41.05,78.8,11.41
435,nueva gerona,CU,200,12,1540672324,95,21.88,-82.8,81.68,1.81
436,port lincoln,AU,200,92,1540672324,99,-34.72,135.86,57.83,8.63
437,vite,IN,200,0,1540672325,61,17.28,74.55,61.21,5.28
438,panaba,MX,200,32,1540672325,46,21.28,-88.27,89.33,8.52
439,guaraniacu,BR,200,0,1540672325,60,-25.1,-52.88,69.22,5.73
440,spirovo,RU,200,92,1540672326,97,57.42,34.99,33.71,13.22
441,chake chake,TZ,200,92,1540672326,100,-5.25,39.77,78.71,8.41
442,mattersburg,AT,200,75,1540669800,93,47.74,16.4,48.2,5.82
443,tongren,CN,200,56,1540672326,71,27.72,109.18,48.38,2.48
444,bud,NO,200,0,1540669800,100,62.91,6.91,33.8,6.93
445,alice springs,AU,200,90,1540670400,93,-23.7,133.88,64.4,6.93
446,vorontsovka,RU,200,68,1540672327,95,50.61,40.34,41.81,12.44
447,mount gambier,AU,200,24,1540672087,86,-37.83,140.78,45.59,3.27
448,buta,CD,200,24,1540672328,92,2.79,24.73,74.21,2.48
449,saryg-sep,RU,200,0,1540672328,61,51.49,95.55,9.86,2.59
450,sunyani,GH,200,48,1540672328,94,7.34,-2.33,72.95,5.17
451,aksarka,RU,200,76,1540672328,90,66.56,67.8,26.87,9.75
452,sechura,PE,200,12,1540672328,73,-5.56,-80.82,71.78,13.56
453,deputatskiy,RU,200,64,1540672160,63,69.3,139.9,-4.36,2.93
454,saint-joseph,RE,200,0,1540670400,64,-21.37,55.62,68,5.82
455,fortuna,US,200,90,1540670100,72,40.6,-124.16,68,4.7
456,margate,ZA,200,0,1540672330,98,-30.86,30.37,65.89,3.83
457,mushie,CD,200,8,1540672330,95,-3.02,16.92,76.19,1.7
458,atikokan,CA,200,92,1540672330,99,48.76,-91.62,43.39,7.52
459,high level,CA,200,75,1540670400,60,58.52,-117.13,41,3.49
460,khuzhir,RU,200,8,1540672331,94,53.19,107.35,37.67,8.19
461,plettenberg bay,ZA,200,0,1540672304,94,-34.05,23.37,63.82,10.2
462,flin flon,CA,200,90,1540670400,99,54.77,-101.88,32,5.82
463,luziania,BR,200,75,1540670400,51,-16.25,-47.95,82.4,10.29
464,penzance,GB,200,20,1540669800,100,50.12,-5.53,41,19.46
465,dukat,RU,200,88,1540672332,91,62.55,155.55,17.02,2.59
466,pimentel,PE,200,20,1540670400,60,-6.84,-79.94,73.4,13.87
467,san ramon,BO,200,40,1540670400,56,-13.27,-64.62,93.2,6.62
468,asosa,ET,200,0,1540672333,72,10.07,34.53,70.21,4.05
469,wahiawa,US,200,40,1540670220,74,21.5,-158.02,84.2,8.05
470,ishigaki,JP,200,12,1540672333,100,24.34,124.16,73.76,27.09
471,aiani,GR,200,0,1540672333,88,40.17,21.82,43.39,1.92
472,tommot,RU,200,76,1540672333,77,58.97,126.27,14.99,5.61
473,paamiut,GL,200,92,1540672334,99,61.99,-49.67,37.13,33.91
474,harwich,US,200,90,1540671360,84,41.69,-70.08,57.2,21.92
475,chimore,BO,200,68,1540672334,72,-16.98,-65.13,82.94,3.15
476,lagos,PT,200,0,1540670400,44,37.1,-8.67,57.2,13.87
477,montes claros,BR,200,75,1540670400,31,-16.73,-43.87,91.4,8.05
478,shache,CN,200,12,1540672335,78,38.42,77.24,33.35,4.16
479,sao joao dos patos,BR,200,0,1540672335,42,-6.5,-43.7,91.09,3.83
480,markova,RU,200,0,1540670400,100,52.21,104.21,24.8,4.47
481,grand gaube,MU,200,20,1540670400,82,-20.01,57.66,66.2,5.82
482,skalanion,GR,200,20,1540669800,88,35.28,25.19,66.2,8.41
483,teluknaga,ID,200,75,1540670400,94,-6.1,106.64,77,10.29
484,maragogi,BR,200,0,1540672336,78,-9.01,-35.22,78.31,12.55
485,hofn,IS,200,76,1540672336,100,64.25,-15.21,37.67,17.92
486,goulburn,AU,200,48,1540672337,77,-34.75,149.72,51.04,4.72
487,mahebourg,MU,200,20,1540670400,82,-20.41,57.7,66.2,5.82
488,sindor,RU,200,80,1540672337,86,62.87,51.9,31.96,7.85
489,hassleholm,SE,200,12,1540669800,93,56.16,13.77,35.6,6.93
490,launceston,AU,200,0,1540670400,80,-41.43,147.14,33.8,3.36
491,rio grande,BR,200,20,1540670400,64,-32.03,-52.1,69.8,10.29
492,behshahr,IR,200,88,1540672338,100,36.69,53.54,54.59,2.26
493,san cristobal,EC,200,76,1540672339,89,-1.02,-79.44,66.92,3.94
494,port elizabeth,ZA,200,0,1540666800,88,-33.92,25.57,66.2,16.11
495,buenos aires,CR,200,92,1540672339,100,9.17,-83.33,73.4,2.48
496,aranda de duero,ES,200,88,1540672339,99,41.67,-3.69,34.07,3.6
497,mananjary,MG,200,100,1540672340,47,-19.16,46.8,68,5.17
498,saint-leu,RE,200,0,1540670400,64,-21.15,55.28,68,5.82
499,langham,CA,200,20,1540670400,34,52.36,-106.96,53.6,25.28
500,thunder bay,CA,200,90,1540670400,87,48.41,-89.26,44.6,6.93
501,bubaque,GW,200,44,1540670400,83,11.28,-15.83,84.2,3.36
502,cherskiy,RU,200,32,1540672341,77,68.75,161.3,-12.01,2.71
503,buraydah,SA,200,40,1540670400,72,26.33,43.97,66.2,17.22
504,cabanas,CU,200,20,1540670100,58,22.98,-82.92,86,8.05
505,necochea,AR,200,88,1540672341,68,-38.55,-58.74,67.55,6.4
506,benguela,AO,200,12,1540672342,98,-12.58,13.4,77.27,1.59
507,durazno,UY,200,40,1540670400,49,-33.38,-56.52,71.6,6.93
508,macau,BR,200,0,1540672343,40,-5.11,-36.64,88.7,12.1
509,walvis bay,NA,200,0,1540672343,88,-22.95,14.51,67.46,5.39
510,thap than,TH,200,24,1540672343,98,15.46,99.89,71.87,2.15
511,muroto,JP,200,24,1540672343,100,33.37,134.14,52.43,5.73
512,coquimbo,CL,200,20,1540670400,72,-29.95,-71.34,62.6,13.87
513,lazaro cardenas,MX,200,20,1540669200,31,28.39,-105.62,75.2,5.82
514,caninde de sao francisco,BR,200,0,1540666800,19,-9.66,-37.79,100.4,4.7
515,le port,RE,200,0,1540670400,77,-20.94,55.29,68,5.82
516,klyuchi,RU,200,44,1540672345,49,52.25,79.17,45.19,12.21
517,bontang,ID,200,88,1540672345,100,0.12,117.47,77.27,7.18
518,basco,PH,200,0,1540672345,100,20.45,121.97,77.59,30.89
519,fernley,US,200,1,1540671300,22,39.61,-119.25,75.2,2.93
520,languyan,PH,200,44,1540672345,100,5.26,120.08,83.03,7.29
521,springdale,CA,200,8,1540672346,93,49.5,-56.06,35.78,20.49
522,kommunisticheskiy,RU,200,8,1540672346,69,61.68,64.48,29.75,8.3
523,atasu,KZ,200,92,1540672346,42,48.68,71.64,55.94,20.49
524,belmonte,BR,200,0,1540672346,70,-26.84,-53.58,69.31,9.19
525,solnechnyy,RU,200,88,1540672347,89,50.72,136.64,34.25,10.98
526,vikulovo,RU,200,92,1540672347,97,55.07,40.96,33.35,15.01
527,kenora,CA,200,90,1540671300,100,49.76,-94.48,44.6,6.93
528,chimbote,PE,200,8,1540672347,74,-9.08,-78.59,67.1,6.96
529,gigmoto,PH,200,92,1540672348,100,13.78,124.39,80.56,17.92
530,labuan,MY,200,75,1540670400,94,5.33,115.2,78.8,2.24
531,davila,PH,200,36,1540672348,94,18.47,120.58,78.49,25.41
532,namibe,AO,200,0,1540672348,82,-15.19,12.15,79.66,16.69
533,kuybysheve,UA,200,24,1540672349,82,47.36,36.65,53.51,16.24
